T_B_SCR,T_SCR_T1,T_SCR_T2,T_SCR_T3,T_SCR_T4,T_SCR_T5,T_A_SCR,,NO,NO2,N2O,H2O,NH3,,DTIUreaflowdmnd,DTIUreaflowsubm,,PTScrureamassflow,PTUreaflowdesired,,PTScrmassflow
?C,?C,?C,?C,?C,?C,?C,,ppm,ppm,ppm,ppm,ppm,,Real,Real,,Real,Real,,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,,Raw,Raw,Raw,Raw,Raw,,Raw,Raw,,Raw,Raw,,Raw
193.4248472,200.6462036,-271.5107821,199.6540191,199.6309112,-271.0875332,172.904416,,193.9,28.85,4.75,0,-0.06,,70,1,,70,70,,18.6875
193.2864229,200.6462036,-271.5107821,199.6540191,199.6309112,-271.0875332,172.8813559,,198.8,28.86,4.43,0,0.02,,70,1,,69.4375,70,,18.71875
193.2172108,200.6231249,-271.5107821,199.6540191,199.6309112,-271.0875332,172.8582959,,197.4,27.25,4.74,0,0.1,,70,1,,69.4375,70,,18.65625
193.0557158,200.6231249,-271.5107821,199.6770845,199.6078431,-271.0875332,172.8582959,,193.5,27.47,5.25,0,0.19,,70,1,,69.4375,70,,18.65625
192.9634329,200.5538888,-271.5107821,199.7001499,199.6078431,-271.0875332,172.8582959,,196.6,26.67,5.25,0,0.3,,70,1,,69.4375,70,,18.6875
192.8942208,200.5308101,-271.5107821,199.7001499,199.6078431,-271.0875332,172.8813559,,187.8,25.96,4.97,0,-0.03,,70,1,,68.75,70,,18.6875
192.6865844,200.5077314,-271.5107821,199.7001499,199.6078431,-271.0875332,172.904416,,187.8,25.96,4.97,0,-0.03,,70,1,,68.75,70,,18.65625
192.5943015,200.3923379,-271.5107821,199.7232153,199.6078431,-271.0875332,172.904416,,185.9,23.81,4.87,0,0.45,,70,1,,68.75,70,,18.71875
192.5250894,200.3000231,-271.5107821,199.7232153,199.6078431,-271.0875332,172.904416,,182.4,23.48,4.6,0,0.17,,70,1,,68.75,70,,18.65625
192.4328066,200.1384722,-271.5107821,199.7232153,199.6078431,-271.0875332,172.904416,,181.5,23.75,5.42,0,0.34,,70,1,,68.09375,70,,18.6875
192.3635944,200.0923148,-271.5107821,199.7232153,199.6078431,-271.0875332,172.904416,,187.5,23.58,5.43,0,0.18,,70,1,,68.75,70,,18.75
192.2482409,199.9538586,-271.5107821,199.7232153,199.6078431,-271.0875332,172.904416,,185.2,23.1,5.42,0,0.36,,70,1,,68.09375,70,,18.6875
192.2482409,199.9307879,-271.5107821,199.7462807,199.6078431,-271.0875332,172.904416,,185.4,22.2,4.81,0,0.42,,70,1,,68.75,70,,18.71875
